!,2635,2635,1195,記号,句点,*,*,*,*,NULL,!,NULL
?,2635,2635,1630,記号,句点,*,*,*,*,NULL,?,NULL
←,2634,2634,3544,記号,一般,*,*,*,*,NULL,←,NULL
↑,2634,2634,3958,記号,一般,*,*,*,*,NULL,↑,NULL
→,2634,2634,3236,記号,一般,*,*,*,*,NULL,→,NULL
↓,2634,2634,3026,記号,一般,*,*,*,*,NULL,↓,NULL
─,2634,2634,4352,記号,一般,*,*,*,*,NULL,─,NULL
、,2638,2638,1554,記号,読点,*,*,*,*,NULL,、,NULL
。,2635,2635,432,記号,句点,*,*,*,*,NULL,。,NULL
ぁ,418,418,3516,助詞,終助詞,*,*,*,*,NULL,ぁ,NULL
あ,1538,1538,1109,動詞,非自立,*,*,五段・ラ行,体言接続特殊２,NULL,あ,NULL
ぃ,418,418,3243,助詞,終助詞,*,*,*,*,NULL,ぃ,NULL
い,1202,1202,3485,動詞,非自立,*,*,一段,連用形,NULL,い,NULL
ぅ,418,418,3616,助詞,終助詞,*,*,*,*,NULL,ぅ,NULL
う,35,35,1052,助動詞,*,*,*,不変化型,基本形,NULL,う,NULL
ぇ,418,418,3369,助詞,終助詞,*,*,*,*,NULL,ぇ,NULL
ぉ,418,418,3670,助詞,終助詞,*,*,*,*,NULL,ぉ,NULL
お,418,418,3228,助詞,終助詞,*,*,*,*,NULL,お,NULL
か,325,325,1194,助詞,副助詞／並立助詞／終助詞,*,*,*,*,NULL,か,NULL
が,332,332,2550,助詞,接続助詞,*,*,*,*,NULL,が,NULL
が,369,369,1670,助詞,格助詞,一般,*,*,*,NULL,が,NULL
き,98,98,1093,助動詞,*,*,*,文語・キ,基本形,NULL,き,NULL
く,1367,1367,1431,動詞,非自立,*,*,五段・カ行促音便,基本形,NULL,く,NULL
く,856,856,788,動詞,非自立,*,*,カ変・クル,体言接続特殊２,NULL,く,NULL
け,409,409,1256,助詞,終助詞,*,*,*,*,NULL,け,NULL
こ,861,861,1478,動詞,非自立,*,*,カ変・クル,未然形,NULL,こ,NULL
さ,410,410,766,助詞,終助詞,*,*,*,*,NULL,さ,NULL
し,96,96,1467,助動詞,*,*,*,文語・キ,体言接続,NULL,し,NULL
し,339,339,1492,助詞,接続助詞,*,*,*,*,NULL,し,NULL
し,634,634,2721,動詞,自立,*,*,サ変・スル,連用形,NULL,し,NULL
じ,36,36,1495,助動詞,*,*,*,不変化型,基本形,NULL,じ,NULL
す,574,574,990,動詞,自立,*,*,*,文語基本形,NULL,す,NULL
す,509,509,697,動詞,接尾,*,*,五段・サ行,基本形,NULL,す,NULL
ず,219,219,1354,助動詞,*,*,*,特殊・ヌ,連用ニ接続,NULL,ず,NULL
せ,480,480,2368,動詞,接尾,*,*,一段,連用形,NULL,せ,NULL
せ,631,631,2094,動詞,自立,*,*,サ変・スル,未然ヌ接続,NULL,せ,NULL
ぜ,411,411,1040,助詞,終助詞,*,*,*,*,NULL,ぜ,NULL
ぞ,281,281,1568,助詞,係助詞,*,*,*,*,NULL,ぞ,NULL
ぞ,412,412,637,助詞,終助詞,*,*,*,*,NULL,ぞ,NULL
た,142,142,1572,助動詞,*,*,*,特殊・タ,基本形,NULL,た,NULL
だ,143,143,1166,助動詞,*,*,*,特殊・タ,基本形,NULL,だ,NULL
だ,165,165,835,助動詞,*,*,*,特殊・ダ,基本形,NULL,だ,NULL
っ,39,39,1103,助動詞,*,*,*,不変化型,基本形,NULL,っ,NULL
っ,418,418,2464,助詞,終助詞,*,*,*,*,NULL,っ,NULL
っ,418,418,3379,助詞,終助詞,*,*,*,*,NULL,ッ,NULL
つ,32,32,1125,助動詞,*,*,*,下二・タ行,基本形,NULL,つ,NULL
て,348,348,2107,助詞,接続助詞,*,*,*,*,NULL,て,NULL
で,416,416,816,助詞,終助詞,*,*,*,*,NULL,で,NULL
で,168,168,1779,助動詞,*,*,*,特殊・ダ,連用形,NULL,で,NULL
で,349,349,2033,助詞,接続助詞,*,*,*,*,NULL,で,NULL
で,370,370,1908,助詞,格助詞,一般,*,*,*,NULL,で,NULL
で,381,381,1152,助詞,格助詞,一般,*,*,*,NULL,デ,NULL
と,387,387,2141,助詞,格助詞,引用,*,*,*,NULL,と,NULL
と,1543,1543,648,動詞,非自立,*,*,五段・ラ行,体言接続特殊２,NULL,と,NULL
と,271,271,1832,助詞,並立助詞,*,*,*,*,NULL,と,NULL
と,326,326,1780,助詞,副詞化,*,*,*,*,NULL,と,NULL
と,350,350,1647,助詞,接続助詞,*,*,*,*,NULL,と,NULL
と,371,371,1675,助詞,格助詞,一般,*,*,*,NULL,と,NULL
ど,352,352,1105,助詞,接続助詞,*,*,*,*,NULL,ど,NULL
な,71,71,294,助動詞,*,*,*,形容詞・イ段,ガル接続,NULL,無,NULL
な,417,417,965,助詞,終助詞,*,*,*,*,NULL,な,NULL
な,163,163,2449,助動詞,*,*,*,特殊・ダ,体言接続,NULL,な,NULL
な,197,197,1854,助動詞,*,*,*,特殊・ナイ,ガル接続,NULL,な,NULL
に,327,327,1804,助詞,副詞化,*,*,*,*,NULL,に,NULL
に,367,367,1567,助詞,接続助詞,一般,*,*,*,NULL,に,NULL
に,372,372,1672,助詞,格助詞,一般,*,*,*,NULL,に,NULL
ぬ,40,40,922,助動詞,*,*,*,不変化型,基本形,NULL,ぬ,NULL
ぬ,217,217,1550,助動詞,*,*,*,特殊・ヌ,基本形,NULL,ぬ,NULL
ね,418,418,1098,助詞,終助詞,*,*,*,*,NULL,ね,NULL
ね,215,215,2017,助動詞,*,*,*,特殊・ヌ,仮定形,NULL,ね,NULL
の,419,419,681,助詞,終助詞,*,*,*,*,NULL,の,NULL
の,429,429,2677,助詞,連体化,*,*,*,*,NULL,の,NULL
の,2634,2634,3674,記号,一般,*,*,*,*,NULL,ノ,NULL
の,374,374,3467,助詞,格助詞,一般,*,*,*,NULL,の,NULL
の,382,382,961,助詞,格助詞,一般,*,*,*,NULL,ノ,NULL
は,283,283,1817,助詞,係助詞,*,*,*,*,NULL,は,NULL
